| Tempo	| Buffer estável	| Buffer atual	| Menor throughtput	| Qualidade Buscada	|
| 0.077438	| 10	| 0	| inf	| 0	|
| 0.140506	| 10	| 0	| 803296.4926851083	| 9	|
| 0.179076	| 10	| 1	| 803296.4926851083	| 12	|
| 0.221503	| 10	| 2	| 803296.4926851083	| 12	|
| 0.272229	| 10	| 3	| 803296.4926851083	| 15	|
| 0.326075	| 10	| 4	| 803296.4926851083	| 18	|
| 0.428556	| 10	| 4	| 803296.4926851083	| 18	|
| 0.525272	| 10	| 5	| 803296.4926851083	| 18	|
| 0.661042	| 10	| 6	| 803296.4926851083	| 18	|
| 0.843468	| 10	| 7	| 803296.4926851083	| 18	|
| 1.15846	| 10	| 8	| 803296.4926851083	| 18	|
| 1.701997	| 10	| 8	| 803296.4926851083	| 18	|
| 2.155198	| 10	| 9	| 803296.4926851083	| 18	|
| 2.86077	| 10	| 9	| 803296.4926851083	| 18	|
| 3.663861	| 10	| 9	| 803296.4926851083	| 18	|
| 4.464791	| 10	| 9	| 803296.4926851083	| 18	|
| 5.427993	| 10	| 9	| 803296.4926851083	| 18	|
| 60.743677	| 10	| 0	| 46934.81244512939	| 0	|
| 60.817422	| 11.45897835703	| 1	| 46934.81244512939	| 8	|
| 60.897541	| 11.45897835703	| 2	| 46934.81244512939	| 8	|
| 61.04665	| 11.45897835703	| 3	| 46934.81244512939	| 8	|
| 61.299273	| 11.45897835703	| 4	| 46934.81244512939	| 8	|
| 61.472891	| 11.45897835703	| 4	| 46934.81244512939	| 8	|
| 61.625353	| 11.45897835703	| 5	| 46934.81244512939	| 8	|
| 61.923603	| 11.45897835703	| 6	| 46934.81244512939	| 8	|
| 62.274022	| 11.45897835703	| 7	| 46934.81244512939	| 8	|
| 62.667671	| 11.45897835703	| 7	| 46934.81244512939	| 8	|
| 63.045729	| 11.45897835703	| 8	| 46934.81244512939	| 8	|
| 63.498681	| 11.45897835703	| 8	| 46934.81244512939	| 8	|
| 63.937582	| 11.45897835703	| 9	| 46934.81244512939	| 8	|
| 64.54889	| 11.45897835703	| 9	| 46934.81244512939	| 8	|
| 65.150408	| 11.45897835703	| 10	| 46934.81244512939	| 8	|
| 73.668882	| 10	| 2	| 46934.81244512939	| 0	|
| 74.716747	| 10	| 2	| 46934.81244512939	| 0	|
| 75.746202	| 10	| 2	| 46929.05061372346	| 0	|
| 75.822045	| 11.460385261719397	| 3	| 46929.05061372346	| 8	|
| 76.044746	| 11.460385261719397	| 4	| 46929.05061372346	| 8	|
